epoch,total_loss,bce,commitment
17,37120973785.0,12037911.376953125,37108935979.0
18,30029096690.5,12053334.8359375,30017043361.75
19,24646882084.375,12072643.3046875,24634809385.625
20,20856078564.875,12087116.005859375,20843991455.125
21,17967724606.6875,12101027.12109375,17955623558.6875
22,15441912138.751953,12115131.177734375,15429797019.18958
23,13436557665.875,12124346.958984375,13424433336.0
24,11961112424.074219,12133994.5,11948978434.56641
25,10649661939.726562,12141732.982421875,10637520196.063492
26,10122466794.503906,12144430.556640625,10110322368.258356
27,9738882366.71875,12149126.787109375,9726733250.849741
28,9390937552.519531,12153706.548828125,9378783831.683655
29,9266684863.935547,12158799.92578125,9254526069.818245
30,8865499028.304688,12162136.78515625,8853336878.37226
1,20717315.23828125,13887868.80078125,6829446.461530581
2,333594249.1328125,12200463.072265625,321393785.46875
3,1912458283.25,11851674.69921875,1900606608.5
4,4302906634.5,11785481.015625,4291121143.0
5,10285789733.0,11761893.216796875,10274027839.0
6,19733799078.0,11727864.212890625,19722071170.0
7,32099829784.0,11694178.427734375,32088135584.0
8,50361261212.0,11718679.935546875,50349542592.0
9,85952419496.0,11805559.76953125,85940614008.0
10,131345103040.0,11812339.919921875,131333290800.0
11,172995380384.0,11756112.587890625,172983624208.0
12,208940675968.0,11667805.13671875,208929008160.0
13,229987177728.0,11616173.306640625,229975561472.0
14,271525049792.0,11654488.38671875,271513395616.0
15,327036423296.0,11637015.248046875,327024786656.0
16,373188323072.0,11640396.08984375,373176682560.0
17,416781993664.0,11630519.025390625,416770363744.0
18,472496532288.0,11623642.896484375,472484908544.0
19,515075784000.0,11585257.40234375,515064199232.0
20,539679092736.0,11552388.271484375,539667539968.0
21,568339964416.0,11538219.326171875,568328426944.0
22,594471450944.0,11520067.53125,594459932736.0
23,626011417024.0,11531011.50390625,625999885952.0
24,712987499520.0,11577434.173828125,712975922432.0
25,853842924544.0,11587404.310546875,853831337344.0
26,985804397824.0,11565663.408203125,985792831104.0
27,1100650055296.0,11540075.5625,1100638516224.0
28,1200927743488.0,11528436.7890625,1200916215936.0
29,1282559927680.0,11536991.140625,1282548390144.0
30,1333453086592.0,11536221.29296875,1333441550720.0
1,18929608.25390625,13802761.146484375,5126847.127784792
2,253887555.85546875,12156123.291015625,241731433.00390625
3,1462480210.625,11849034.3984375,1450631179.125
4,3840405434.75,11782031.58203125,3828623411.0
5,7776175834.5,11770956.765625,7764404884.0
6,15290988056.0,11778469.82421875,15279209610.0
7,30127896748.0,11776617.8984375,30116120172.0
8,53869894732.0,11798768.814453125,53858095964.0
9,91058775144.0,11852742.7734375,91046922344.0
10,135594684400.0,11851964.88671875,135582832656.0
11,177454149264.0,11788851.9765625,177442360048.0
12,225725367328.0,11755659.63671875,225713611872.0
13,288006322112.0,11745510.697265625,287994576832.0
14,353675250208.0,11725797.1640625,353663524480.0
15,423024205440.0,11714628.177734375,423012490560.0
16,496724934592.0,11711905.42578125,496713221504.0
17,566434260352.0,11680426.763671875,566422580480.0
18,665197924800.0,11702040.1796875,665186221696.0
19,797551573248.0,11750417.74609375,797539823360.0
20,943083318912.0,11784231.552734375,943071536384.0
21,1111324896128.0,11807996.185546875,1111313088896.0
22,1279616616064.0,11798878.576171875,1279604816384.0
23,1422338078720.0,11762446.359375,1422326315136.0
24,1543717211648.0,11699179.720703125,1543705512448.0
25,1639925053696.0,11676771.216796875,1639913380096.0
26,1710904707584.0,11630015.34375,1710893077248.0
27,1772864606208.0,11571317.021484375,1772853036544.0
28,1774544079616.0,11518806.34375,1774532561152.0
29,1730187101952.0,11481626.009765625,1730175617152.0
30,1664808144128.0,11459133.173828125,1664796681472.0
1,19551472.826171875,13486215.640625,6065257.151370065
2,31552184.16796875,11801756.92578125,19750427.235351562
3,99302524.1953125,11649671.029296875,87652853.18359375
4,603590835.0,11623839.4296875,591966996.4375
5,6592085896.5,11755549.931640625,6580330349.0
6,29773137706.0,11798847.185546875,29761338800.0
7,51421227228.0,11724706.703125,51409502688.0
8,60232507680.0,11652301.212890625,60220855496.0
9,60513645328.0,11646403.365234375,60501998920.0
10,66629615464.0,11677364.017578125,66617938152.0
11,79613949264.0,11695439.556640625,79602253872.0
12,77983236580.0,11693208.90625,77971543260.0
13,65273711028.0,11692015.0546875,65262019024.0
14,55757967692.0,11642462.728515625,55746325292.0
15,42290915972.0,11542836.07421875,42279373148.0
16,32650979752.0,11538554.271484375,32639441156.0
17,29899903804.0,11574344.134765625,29888329508.0
18,32530396680.0,11616618.140625,32518780124.0
19,36776364276.0,11653733.05859375,36764710564.0
20,42018185416.0,11680158.578125,42006505204.0
21,49437701140.0,11704471.33203125,49425996720.0
22,59284470360.0,11730144.203125,59272740296.0
23,69900482344.0,11743151.12890625,69888739144.0
24,79811983232.0,11740814.681640625,79800242344.0
25,91963786216.0,11733102.310546875,91952053160.0
26,102683165032.0,11722135.275390625,102671442832.0
27,110675778944.0,11712151.49609375,110664066896.0
28,115370203704.0,11706252.4453125,115358497400.0
29,110449572816.0,11717397.578125,110437855568.0
30,79794522232.0,11779112.658203125,79782743072.0
1,13496886.849609375,13410283.9921875,86602.8496920327
2,12260636.951171875,11841335.48046875,419301.47396850586
3,13163882.30078125,11666538.869140625,1497343.4185791016
4,15426029.52734375,11635360.962890625,3790668.568359375
5,89393074.62890625,11992589.142578125,77400485.65039062
6,1628422791.4375,12340149.724609375,1616082643.8125
7,7219633101.0,12384471.302734375,7207248632.0
8,16691907630.0,12379858.123046875,16679527760.0
9,17235310514.0,11908431.3828125,17223402084.0
10,8645334016.0,11795626.53515625,8633538382.0
